ID,Kieli,Lekseemi,Sanaluokka,Jatkoleksikko,Taivutustyyppi
3336,sms,eežžat,A,A_,X
3365,sms,riʹttjteʹm,A,A_NALLSHEM,1
3366,sms,riʹttjtem,A,A_NALLSHEM,1
3367,sms,riʹjttjtem,A,A_NALLSHEM,1
3368,sms,riʹjttjteʹm,A,A_NALLSHEM,1
3378,sms,oddâl,A,A_AANAR,2
3379,sms,oddlõs,A,A-ATTR_,X
3391,sms,jiõnneei,A,A_PRSPRC-EEI,3
3393,sms,sueʹrreei,A,A_PRSPRC-EEI,3
3405,sms,greikklaž,A,A_MEERSAZH,1
3422,sms,toppreei,A,A_PRSPRC-EEI,3
3423,sms,tovrdeei,A,A_PRSPRC-EEI,3
3459,sms,vuâllneei,A,A_PRSPRC-EEI,3
3473,sms,ǩeâllseei,A,A_PRSPRC-EEI,3
3479,sms,suõʹlles,A,A_,X
3487,sms,vuäkkai,A,A_PRSPRC-VWKK-AI,X
3641,sms,puâššas,A,A-ATTR_,X
3674,sms,ǩeʹrjstõõvvi,A,A_PRSPRC-VVCC-I,X
3706,sms,härččas,A,A-ATTR_,X
3707,sms,härččai,A,A_PRSPRC-VXYY-AI,X
3716,sms,jiõnstemvuõiggâdvuõđâkksaž,A,A_MEERSAZH,1
3741,sms,vuõigg,A,A-ATTR_,X
3742,sms,rieʹttlõs,A,A-ATTR_,X
3751,sms,registõõlltem,A,A_NALLSHEM,1
3752,sms,registõõllteʹm,A,A_NALLSHEM,1
3762,sms,kookki,A,A_PRSPRC-VVKK-I,X
3769,sms,konkreʹtt,A,A_SEQTT,1
3770,sms,konkreettlaž,A,A_MEERSAZH,1
3780,sms,žäärai,A,A_SAELTTAI,X
3792,sms,suddeei,A,A_PRSPRC-EEI,3
3802,sms,raaggâs,A,A_,X
3821,sms,filosooflaž,A,A_MEERSAZH,1
3829,sms,šiõttlõs,A,A-ATTR_,X
3830,sms,šiõttâl,A,A_AANAR,2
3831,sms,moddai,A,A_,X
3832,sms,mooddai,A,A_,X
3833,sms,moodnas,A,A-ATTR_,X
3835,sms,energiilaž,A,A_MEERSAZH,1
3848,sms,kueiʹtčåkksaž,A,A_MEERSAZH,1
3889,sms,etnlaž,A,A_MEERSAZH,1
3931,sms,viõusâshajjsaž,A,A_MEERSAZH,1
4002,sms,šõddi,A,A_PRSPRC-VCC-I,X
4003,sms,vuõrsmeei,A,A_PRSPRC-EEI,3
4009,sms,teukkjuum,A,A_PSS-PRFPRC,X
4028,sms,puåtkõõtti,A,A_PRSPRC-VVCC-I,X
4042,sms,peelteei,A,A_PRSPRC-EEI,3
4043,sms,hoožžteei,A,A_PRSPRC-EEI,3
4083,sms,čuâvvai,A,A_PRSPRC-VWCC-AI,X
4084,sms,čuâvvlõs,A,A-ATTR_,X
4110,sms,pirrõs-suâjlaž,A,A_MEERSAZH,1
4114,sms,sǩieʹrččjeei,A,A_PRSPRC-EEI,3
4115,sms,šuõršjeei,A,A_PRSPRC-EEI,3
4129,sms,vuõʹrjjuum,A,A_PSS-PRFPRC,X
4142,sms,mieʹlli,A,A_,X
4143,sms,meâllas,A,A-ATTR_,X
4147,sms,ceeʹljõʹstti,A,A_PRSPRC-VXYY-I,X
4158,sms,sǩiâlmm,A,A_,X
4159,sms,peʹlbb,A,A_,X
4160,sms,pelbbai,A,A_SAELTTAI,X
4161,sms,peeʹlbes,A,A-ATTR_,X
4162,sms,pelbbas,A,A-ATTR_,X
4208,sms,leuʹddčeäʹpp,A,A_JEAQNNN,1
4209,sms,čieʹppes,A,A-ATTR_,X
4256,sms,pillšõõvvâm,A,A_AANAR,2
4270,sms,čõõlli,A,A_PRSPRC-VVCC-I,X
4298,sms,čuäʹjtõõtti,A,A_PRSPRC-VVCC-I,X
4313,sms,läʹbllʼjõõvvi,A,A_PRSPRC-VVCC-I,X
4317,sms,vueʹǩǩšõs,A,A-ATTR_,X
4318,sms,vueʹǩǩeš,A,A_JAELLASH,X
4333,sms,veeitlõs,A,A_SAJOS,1
4344,sms,nuõreei,A,A_PRSPRC-EEI,3
4351,sms,aggâd,A,A_VISKKYD,2
4364,sms,čueʹrbb,A,A_MUEQRJJ,1
4365,sms,čueʹrbes,A,A-ATTR_,X
4367,sms,čuõmârnallšeʹmes,A,A-ATTR_,X
4368,sms,čuõmârnallšem,A,A_NALLSHEM,1
4434,sms,ciileei,A,A_PRSPRC-EEI,3
4444,sms,neeuʹres,A,A-ATTR_,X
4445,sms,paavv,A,A_,X
4446,sms,paasniǩ,A,A_AACCIKH,2
4447,sms,paasnkõs,A,A-ATTR_,X
4448,sms,ǩeähnas,A,A-ATTR_,X
